q,tdv,cdv
1,0,0.0
1,10,10.0
1,11,11.0
1,16,16.0
1,20,20.0
1,27,27.0
1,30,30.0
1,35,35.0
1,40,40.0
1,50,50.0
1,57,57.0
1,60,60.0
1,70,70.0
1,80,80.0
1,90,90.0
1,100,100.0
2,11,8.0
2,16,12.4
2,20,16.0
2,27,21.9
2,30,24.5
2,35,28.5
2,40,32.0
2,50,39.5
2,57,44.0
2,60,46.0
2,70,52.5
2,80,58.5
2,90,64.5
2,100,70.0
2,110,75.5
2,120,81.0
2,130,86.0
2,140,90.5
2,150,95.0
2,160,99.5
2,161,100.0
3,16,8.0
3,20,11.0
3,27,15.9
3,30,18.0
3,35,21.7
3,40,25.4
3,50,32.0
3,57,36.9
3,60,38.5
3,70,45.0
3,80,51.4
3,90,57.4
3,100,63.0
3,110,68.5
3,120,74.0
3,130,78.9
3,140,84.0
3,150,88.4
3,160,93.0
3,161,93.4
3,170,97.0
3,177,100.0
4,27,14.0
4,30,16.0
4,35,19.2
4,40,22.5
4,50,29.0
4,57,33.0
4,60,35.2
4,70,41.0
4,80,47.0
4,90,52.5
4,100,58.0
4,110,63.0
4,120,67.8
4,130,72.5
4,140,77.0
4,150,81.5
4,160,85.5
4,161,86.0
4,170,89.6
4,177,92.6
4,180,94.0
4,190,98.0
4,195,99.5
4,200,100.0
5,35,17.1
5,40,20.25
5,50,26.5
5,57,30.6
5,60,32.6
5,70,38.5
5,80,44.25
5,90,49.75
5,100,55.0
5,110,60.0
5,120,64.9
5,130,69.5
5,140,74.0
5,150,78.25
5,160,82.25
5,161,82.7
5,170,86.3
5,177,88.85
5,180,90.0
5,190,94.0
5,195,95.5
5,200,96.5
6,35,15.0
6,40,18.0
6,50,24.0
6,57,28.2
6,60,30.0
6,70,36.0
6,80,41.5
6,90,47.0
6,100,52.0
6,110,57.0
6,120,62.0
6,130,66.5
6,140,71.0
6,150,75.0
6,160,79.0
6,161,79.4
6,170,83.0
6,177,85.1
6,180,86.0
6,190,90.0
6,195,91.5
6,200,93.0
7,57,26.8
7,60,28.33333333
7,70,34.0
7,80,39.33333333
7,90,44.4
7,100,49.33333333
7,110,54.33333333
7,120,59.0
7,130,63.66666667
7,140,68.16666667
7,150,72.33333333
7,160,76.33333333
7,161,76.73333333
7,170,80.33333333
7,177,82.66666667
7,180,83.66666667
7,190,87.5
7,195,89.1
7,200,90.66666667
8,57,25.4
8,60,26.66666667
8,70,32.0
8,80,37.16666667
8,90,41.8
8,100,46.66666667
8,110,51.66666667
8,120,56.0
8,130,60.83333333
8,140,65.33333333
8,150,69.66666667
8,160,73.66666667
8,161,74.06666667
8,170,77.66666667
8,177,80.23333333
8,180,81.33333333
8,190,85.0
8,195,86.7
8,200,88.33333333
9,57,24.0
9,60,25.0
9,70,30.0
9,80,35.0
9,90,39.2
9,100,44.0
9,110,49.0
9,120,53.0
9,130,58.0
9,140,62.5
9,150,67.0
9,160,71.0
9,161,71.4
9,170,75.0
9,177,77.8
9,180,79.0
9,190,82.5
9,195,84.3
9,200,86.0
